location,State,County,Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,new_county
"Texas, Fort Bend",Texas,Fort Bend,"Texas, Fort Bend",358738,375708,397943,418747,441139,462953,490916,516564,542957,569130,"590,253","606,064","624,824","651,847","684,048","715,331","744,160",Fort Bend
"Texas, Franklin",Texas,Franklin,"Texas, Franklin",9459,9521,9536,9597,9731,10745,10755,10799,10604,10601,"10,607","10,562","10,637","10,615","10,563","10,603","10,677",Franklin
"Texas, Freestone",Texas,Freestone,"Texas, Freestone",17902,18127,18395,18483,18684,18843,19123,19162,19446,19743,"19,803","19,602","19,484","19,597","19,677","19,746","19,669",Freestone
"Texas, Frio",Texas,Frio,"Texas, Frio",16203,16315,16467,16477,16532,16618,16720,16776,16939,17120,"17,256","17,492","17,931","18,400","18,938","19,361","19,584",Frio
"Texas, Gaines",Texas,Gaines,"Texas, Gaines",14473,14451,14453,14747,14978,15331,15707,16187,16641,17163,"17,588","17,908","18,307","18,807","19,335","20,217","20,446",Gaines
"Texas, Galveston",Texas,Galveston,"Texas, Galveston",250675,254521,260096,265269,269760,274806,279182,283770,288643,287428,"292,484","295,605","301,049","306,589","313,367","320,974","328,820",Galveston
"Texas, Garza",Texas,Garza,"Texas, Garza",4904,5275,5385,5531,5800,5742,5996,6049,6158,6368,"6,467","6,560","6,418","6,371","6,417","6,391","6,212",Garza
"Texas, Gillespie",Texas,Gillespie,"Texas, Gillespie",20902,21104,21585,22128,22454,22858,23487,23787,24206,24608,"24,874","25,039","25,175","25,363","25,473","25,916","26,206",Gillespie
"Texas, Glasscock",Texas,Glasscock,"Texas, Glasscock",1407,1351,1339,1332,1290,1273,1202,1164,1218,1224,"1,232","1,238","1,280","1,271","1,328","1,380","1,365",Glasscock
"Texas, Goliad",Texas,Goliad,"Texas, Goliad",7007,7020,7051,7135,7071,7070,7121,7142,7164,7157,"7,219","7,208","7,331","7,452","7,506","7,513","7,512",Goliad
"Texas, Gonzales",Texas,Gonzales,"Texas, Gonzales",18642,18714,18882,19181,19370,19656,19633,19512,19538,19628,"19,797","19,755","19,930","20,143","20,347","20,510","20,787",Gonzales
"Texas, Gray",Texas,Gray,"Texas, Gray",22578,22171,21940,21762,21551,21776,22100,22438,22772,22719,"22,470","22,661","22,920","22,996","23,432","23,265","22,741",Gray
"Texas, Grayson",Texas,Grayson,"Texas, Grayson",110939,112330,113239,114421,114998,115666,117174,118331,118834,120069,"121,034","121,430","121,854","122,362","123,599","125,628","128,291",Grayson
"Texas, Gregg",Texas,Gregg,"Texas, Gregg",111255,111791,112767,113775,114541,115402,117118,118260,119157,121238,"121,984","122,656","123,089","123,233","123,146","123,800","123,367",Gregg
"Texas, Grimes",Texas,Grimes,"Texas, Grimes",23601,24219,24736,25016,25209,25350,25639,26046,26273,26422,"26,616","26,655","26,679","26,792","26,997","27,299","27,494",Grimes
"Texas, Guadalupe",Texas,Guadalupe,"Texas, Guadalupe",89841,92626,95246,98137,101495,105585,111878,117667,123398,128265,"132,587","135,809","139,641","142,881","146,811","150,578","154,492",Guadalupe
"Texas, Hale",Texas,Hale,"Texas, Hale",36581,35876,35598,35553,36259,36066,36162,36080,35662,35926,"36,269","36,381","36,258","35,676","34,451","34,034","34,107",Hale
"Texas, Hall",Texas,Hall,"Texas, Hall",3749,3750,3709,3699,3665,3613,3582,3440,3398,3343,"3,359","3,312","3,268","3,164","3,075","3,094","3,113",Hall
"Texas, Hamilton",Texas,Hamilton,"Texas, Hamilton",8239,8169,8069,8225,8181,8263,8389,8452,8497,8527,"8,465","8,389","8,249","8,241","8,160","8,080","8,237",Hamilton
"Texas, Hansford",Texas,Hansford,"Texas, Hansford",5347,5299,5242,5216,5209,5258,5293,5365,5512,5556,"5,599","5,580","5,534","5,547","5,561","5,654","5,592",Hansford
"Texas, Hardeman",Texas,Hardeman,"Texas, Hardeman",4718,4609,4547,4534,4474,4417,4409,4296,4187,4086,"4,159","4,159","4,097","4,065","3,990","3,920","3,982",Hardeman
"Texas, Hardin",Texas,Hardin,"Texas, Hardin",48162,48463,49045,49472,50220,51141,51470,52446,53206,54228,"54,784","55,070","55,122","55,305","55,510","55,758","56,242",Hardin
"Texas, Harris",Texas,Harris,"Texas, Harris",3414239,3471291,3536682,3586133,3630185,3681829,3807435,3863344,3938580,4034866,"4,107,666","4,179,568","4,263,094","4,353,187","4,455,994","4,557,846","4,623,960",Harris
"Texas, Harrison",Texas,Harrison,"Texas, Harrison",62040,62256,62062,62018,62583,62811,63699,63661,64107,65185,"65,765","66,338","66,256","66,267","66,581","66,685","66,611",Harrison
"Texas, Hartley",Texas,Hartley,"Texas, Hartley",5561,5601,5364,5789,5800,5794,5911,6047,5820,5970,"6,064","6,031","6,090","5,999","6,055","5,702","5,740",Hartley
"Texas, Haskell",Texas,Haskell,"Texas, Haskell",6062,6034,5915,5883,5851,5904,5817,5802,5839,5862,"5,879","5,959","5,885","5,901","5,811","5,821","5,751",Haskell
"Texas, Hays",Texas,Hays,"Texas, Hays",99267,104739,111397,115665,119395,125302,132111,140480,147674,153619,"158,214","163,270","168,519","176,035","184,854","194,662","204,546",Hays
"Texas, Hemphill",Texas,Hemphill,"Texas, Hemphill",3335,3327,3357,3362,3410,3480,3523,3538,3680,3802,"3,795","3,956","4,093","4,153","4,165","4,277","4,101",Hemphill
"Texas, Henderson",Texas,Henderson,"Texas, Henderson",73332,73762,74712,76349,77807,78001,78404,78178,78033,78231,"78,665","78,837","78,992","78,669","79,324","79,492","80,062",Henderson
"Texas, Hidalgo",Texas,Hidalgo,"Texas, Hidalgo",573216,590067,610520,632475,653779,674982,695352,715264,736694,757468,"779,149","795,517","808,334","818,619","829,819","839,667","848,960",Hidalgo
"Texas, Hill",Texas,Hill,"Texas, Hill",32539,32766,33120,33755,34064,34203,34484,34650,34997,35005,"35,144","35,200","35,157","34,851","34,767","34,828","35,102",Hill
"Texas, Hockley",Texas,Hockley,"Texas, Hockley",22670,22662,22745,22955,22919,23094,22912,22844,22958,23086,"22,853","22,931","23,074","23,408","23,463","23,310","23,043",Hockley
"Texas, Hood",Texas,Hood,"Texas, Hood",41323,42425,43344,44448,45411,46470,47952,48870,50112,50841,"51,268","51,563","52,129","52,860","53,812","55,227","56,569",Hood
"Texas, Hopkins",Texas,Hopkins,"Texas, Hopkins",31999,32203,32335,32625,33061,33330,33746,34331,34472,34919,"35,208","35,259","35,312","35,299","35,686","35,973","36,184",Hopkins
"Texas, Houston",Texas,Houston,"Texas, Houston",23135,23122,23257,23336,23578,23500,23551,23641,23635,23660,"23,682","23,434","23,213","22,809","22,809","22,747","22,897",Houston
"Texas, Howard",Texas,Howard,"Texas, Howard",33489,33279,33479,33396,33403,33277,33328,33817,34393,34882,"34,993","34,990","35,495","36,185","36,542","37,123","36,214",Howard
"Texas, Hudspeth",Texas,Hudspeth,"Texas, Hudspeth",3357,3405,3398,3345,3345,3416,3459,3462,3374,3423,"3,472","3,412","3,357","3,339","3,306","3,541","4,254",Hudspeth
"Texas, Hunt",Texas,Hunt,"Texas, Hunt",76932,78431,80234,80958,82092,82822,83770,84351,84447,85261,"86,365","86,687","86,979","87,429","88,639","89,670","91,895",Hunt
"Texas, Hutchinson",Texas,Hutchinson,"Texas, Hutchinson",23778,23247,23116,22773,22478,22209,22176,22138,21851,22184,"22,214","22,024","22,022","21,921","21,915","21,793","21,528",Hutchinson
"Texas, Irion",Texas,Irion,"Texas, Irion",1758,1673,1697,1672,1629,1613,1649,1609,1571,1587,"1,607","1,592","1,573","1,610","1,574","1,543","1,562",Irion
"Texas, Jack",Texas,Jack,"Texas, Jack",8752,8710,8916,8965,9028,9092,9177,9068,9030,9057,"9,004","9,030","8,992","8,951","8,880","8,883","8,789",Jack
"Texas, Jackson",Texas,Jackson,"Texas, Jackson",14397,14187,14172,14070,14039,14037,13954,13857,13957,14089,"14,091","14,048","14,271","14,610","14,723","14,808","14,873",Jackson
"Texas, Jasper",Texas,Jasper,"Texas, Jasper",35552,35722,35692,35580,35493,35558,34861,35069,35170,35331,"35,777","36,204","35,854","35,617","35,424","35,266","35,417",Jasper
"Texas, Jeff Davis",Texas,Jeff Davis,"Texas, Jeff Davis",2233,2234,2201,2235,2242,2249,2264,2277,2316,2326,"2,344","2,282","2,296","2,231","2,217","2,199","2,231",Jeff Davis
"Texas, Jefferson",Texas,Jefferson,"Texas, Jefferson",251667,250137,250146,250183,250638,250849,245962,247629,249430,251332,"252,455","253,494","251,605","253,079","252,897","255,112","255,748",Jefferson
"Texas, Jim Hogg",Texas,Jim Hogg,"Texas, Jim Hogg",5275,5194,5220,5148,5173,5194,5160,5131,5198,5260,"5,287","5,289","5,277","5,263","5,328","5,296","5,257",Jim Hogg
"Texas, Jim Wells",Texas,Jim Wells,"Texas, Jim Wells",39361,39701,39821,40008,40309,40449,40393,40654,40554,40633,"40,894","41,224","41,651","41,681","41,504","41,523","41,181",Jim Wells
"Texas, Johnson",Texas,Johnson,"Texas, Johnson",127627,130795,133399,136264,138833,140692,142501,145123,148635,150583,"151,264","152,094","153,415","154,535","156,733","159,345","162,763",Johnson
"Texas, Jones",Texas,Jones,"Texas, Jones",20754,20294,20293,20355,20298,20232,20242,20102,20131,20093,"20,238","20,270","19,870","20,044","19,850","19,966","19,971",Jones
"Texas, Karnes",Texas,Karnes,"Texas, Karnes",15403,15340,15178,15119,15109,14967,14985,14900,14867,14805,"14,889","14,959","14,859","14,727","14,910","15,413","15,494",Karnes
"Texas, Kaufman",Texas,Kaufman,"Texas, Kaufman",72270,75223,77693,81322,84240,87388,91395,95694,99285,101709,"103,872","105,199","106,553","108,248","110,872","114,055","117,904",Kaufman
"Texas, Kendall",Texas,Kendall,"Texas, Kendall",23980,24433,24975,25892,26650,27849,29134,30330,31754,32655,"33,589","34,421","35,551","37,133","38,363","39,938","41,903",Kendall
"Texas, Kenedy",Texas,Kenedy,"Texas, Kenedy",420,421,429,428,440,457,426,415,410,403,417,438,447,438,437,441,436,Kenedy
"Texas, Kent",Texas,Kent,"Texas, Kent",833,808,815,795,791,784,770,788,787,793,812,813,825,782,748,747,748,Kent
"Texas, Kerr",Texas,Kerr,"Texas, Kerr",43848,44331,44894,45278,46054,46809,47840,48352,48852,49427,"49,643","49,641","49,719","49,787","50,343","50,880","51,426",Kerr
"Texas, Kimble",Texas,Kimble,"Texas, Kimble",4484,4494,4521,4510,4562,4609,4578,4518,4520,4623,"4,601","4,594","4,525","4,461","4,464","4,391","4,413",Kimble
"Texas, King",Texas,King,"Texas, King",358,313,308,311,316,289,285,284,272,279,288,258,270,273,263,282,292,King
"Texas, Kinney",Texas,Kinney,"Texas, Kinney",3387,3419,3463,3394,3395,3449,3488,3546,3507,3568,"3,590","3,607","3,639","3,632","3,554","3,589","3,636",Kinney
"Texas, Kleberg",Texas,Kleberg,"Texas, Kleberg",31590,31315,31413,31339,31362,31242,31149,31370,31555,31876,"32,037","32,029","32,097","32,021","31,891","31,413","31,304",Kleberg
"Texas, Knox",Texas,Knox,"Texas, Knox",4253,4070,4044,4018,3940,3822,3788,3721,3650,3647,"3,723","3,722","3,730","3,722","3,801","3,792","3,732",Knox
"Texas, La Salle",Texas,La Salle,"Texas, La Salle",5898,5934,6098,6169,6322,6542,6549,6675,6653,6771,"6,913","7,002","7,157","7,444","7,481","7,637","7,596",La Salle
"Texas, Lamar",Texas,Lamar,"Texas, Lamar",48596,48522,48826,49159,49233,49344,49386,49387,49467,49600,"49,820","49,861","49,656","49,092","49,411","49,373","49,528",Lamar
"Texas, Lamb",Texas,Lamb,"Texas, Lamb",14663,14566,14658,14675,14584,14583,14338,14270,14036,13791,"13,993","14,059","13,863","13,663","13,484","13,259","13,195",Lamb
"Texas, Lampasas",Texas,Lampasas,"Texas, Lampasas",17900,18027,18425,18579,19664,18906,19472,19728,19812,19652,"19,762","19,924","20,054","20,142","20,106","20,362","20,524",Lampasas
"Texas, Lavaca",Texas,Lavaca,"Texas, Lavaca",19190,18958,19101,19152,19130,19185,19181,19238,19185,19226,"19,256","19,311","19,528","19,631","19,779","19,919","19,891",Lavaca
"Texas, Lee",Texas,Lee,"Texas, Lee",15701,16008,16131,16234,16220,16330,16348,16421,16550,16565,"16,591","16,556","16,505","16,545","16,621","16,868","16,975",Lee
"Texas, Leon",Texas,Leon,"Texas, Leon",15395,15452,15718,15795,15837,16104,16334,16390,16832,16862,"16,723","16,829","16,741","16,620","16,730","17,028","17,200",Leon
"Texas, Liberty",Texas,Liberty,"Texas, Liberty",70576,71679,73280,73734,74285,74303,74269,74515,74915,75041,"75,859","75,990","76,370","76,849","78,045","79,537","81,354",Liberty
"Texas, Limestone",Texas,Limestone,"Texas, Limestone",22053,22159,22486,22721,22942,22919,23093,23090,23065,23173,"23,492","23,591","23,686","23,440","23,529","23,442","23,472",Limestone
"Texas, Lipscomb",Texas,Lipscomb,"Texas, Lipscomb",3025,2948,3033,3097,3028,3057,3115,3178,3183,3326,"3,283","3,334","3,447","3,490","3,553","3,559","3,494",Lipscomb
"Texas, Live Oak",Texas,Live Oak,"Texas, Live Oak",12233,12071,11955,11768,11689,11631,11559,11528,11479,11410,"11,556","11,507","11,655","11,817","12,057","12,173","12,023",Live Oak
"Texas, Llano",Texas,Llano,"Texas, Llano",17077,17499,17872,18153,18220,18425,18502,18935,19034,19175,"19,336","19,073","19,266","19,509","19,666","20,081","20,592",Llano
"Texas, Loving",Texas,Loving,"Texas, Loving",65,66,75,72,55,70,75,79,61,77,84,95,86,106,89,119,117,Loving
"Texas, Lubbock",Texas,Lubbock,"Texas, Lubbock",243109,246616,249407,253388,255669,257779,261761,265215,268197,274252,"280,301","283,408","285,961","289,515","294,433","298,337","302,094",Lubbock
"Texas, Lynn",Texas,Lynn,"Texas, Lynn",6489,6444,6421,6232,6172,6178,6192,5989,5932,5927,"5,914","5,886","5,796","5,728","5,798","5,746","5,775",Lynn
"Texas, Madison",Texas,Madison,"Texas, Madison",12967,13680,12797,12989,13146,13136,13264,13353,13340,13483,"13,739","13,753","13,746","13,820","13,871","13,968","14,120",Madison
"Texas, Marion",Texas,Marion,"Texas, Marion",10950,11077,11032,11120,11004,10980,10992,10951,10748,10669,"10,485","10,475","10,374","10,277","10,149","10,136","10,125",Marion
"Texas, Martin",Texas,Martin,"Texas, Martin",4720,4697,4654,4553,4398,4447,4443,4494,4558,4710,"4,809","4,884","4,980","5,272","5,462","5,646","5,616",Martin
"Texas, Mason",Texas,Mason,"Texas, Mason",3734,3743,3725,3762,3811,3813,3862,3897,3876,3982,"4,010","4,033","4,056","4,120","4,095","4,057","4,161",Mason
"Texas, Matagorda",Texas,Matagorda,"Texas, Matagorda",37873,37804,37662,37695,37388,37132,36743,36452,36708,36579,"36,709","36,681","36,544","36,500","36,478","36,766","37,088",Matagorda
"Texas, Maverick",Texas,Maverick,"Texas, Maverick",47343,47594,48408,49123,49627,50140,50951,51367,52190,53434,"54,432","55,260","55,765","56,532","57,115","57,720","58,041",Maverick
"Texas, McCulloch",Texas,McCulloch,"Texas, McCulloch",8175,8034,7927,8033,8164,8117,8183,8105,8203,8365,"8,231","8,254","8,241","8,243","8,152","8,255","8,124",McCulloch
"Texas, McLennan",Texas,McLennan,"Texas, McLennan",213967,215099,216571,218744,221353,222794,224452,226741,229037,231679,"235,917","237,852","239,368","241,443","243,166","245,444","247,553",McLennan
"Texas, McMullen",Texas,McMullen,"Texas, McMullen",843,819,795,801,735,789,765,773,736,699,711,697,730,760,799,828,806,McMullen
"Texas, Medina",Texas,Medina,"Texas, Medina",39484,40053,40707,41549,42363,42977,43936,44577,45131,45605,"46,114","46,507","46,796","47,238","47,830","48,402","49,254",Medina
"Texas, Menard",Texas,Menard,"Texas, Menard",2342,2321,2340,2311,2265,2212,2199,2176,2217,2227,"2,230","2,214","2,204","2,137","2,128","2,134","2,091",Menard
"Texas, Midland",Texas,Midland,"Texas, Midland",115560,116180,117717,119164,120746,122516,125844,128954,132502,136238,"136,974","140,224","147,332","152,356","156,725","162,328","163,850",Midland
"Texas, Milam",Texas,Milam,"Texas, Milam",24290,24445,24981,24917,25136,25017,25082,24946,25065,24864,"24,681","24,607","24,114","24,090","24,143","24,362","24,680",Milam
"Texas, Mills",Texas,Mills,"Texas, Mills",5107,4983,4973,4885,4880,4957,4854,4871,4876,4877,"4,968","4,883","4,832","4,872","4,872","4,889","4,884",Mills
"Texas, Mitchell",Texas,Mitchell,"Texas, Mitchell",9628,9576,9420,9366,9280,9322,9279,9339,9285,9399,"9,412","9,396","9,329","8,999","9,070","8,856","8,474",Mitchell
"Texas, Montague",Texas,Montague,"Texas, Montague",19166,19196,19170,19388,19444,19551,19781,19822,19882,19768,"19,718","19,759","19,477","19,387","19,365","19,252","19,390",Montague
"Texas, Montgomery",Texas,Montgomery,"Texas, Montgomery",297296,311437,326466,341499,357607,372541,392497,411416,429818,445836,"459,208","471,415","484,565","498,392","517,146","535,753","555,216",Montgomery
"Texas, Moore",Texas,Moore,"Texas, Moore",20121,20281,20155,20223,20389,20312,20558,20469,20917,21575,"22,005","22,070","22,430","22,146","21,986","21,725","21,641",Moore
"Texas, Morris",Texas,Morris,"Texas, Morris",13027,13179,13170,13139,12983,13012,13168,13251,13092,12954,"12,919","12,770","12,703","12,680","12,606","12,370","12,429",Morris
"Texas, Motley",Texas,Motley,"Texas, Motley",1435,1340,1311,1319,1270,1257,1236,1228,1197,1200,"1,205","1,200","1,197","1,192","1,149","1,146","1,170",Motley
"Texas, Nacogdoches",Texas,Nacogdoches,"Texas, Nacogdoches",59224,59541,59422,59816,60427,60939,61750,62274,62957,64012,"64,685","65,655","65,866","65,193","65,240","65,462","65,549",Nacogdoches
"Texas, Navarro",Texas,Navarro,"Texas, Navarro",45202,45577,45937,46078,46545,46854,47338,47272,47408,47584,"47,869","48,074","48,163","48,036","47,913","48,181","48,405",Navarro
"Texas, Newton",Texas,Newton,"Texas, Newton",15038,15023,14945,14938,14560,14625,14349,14335,14393,14446,"14,448","14,563","14,434","14,341","14,292","14,158","14,160",Newton
"Texas, Nolan",Texas,Nolan,"Texas, Nolan",15947,15503,15194,15148,15013,14745,14740,14750,15093,15128,"15,244","15,143","14,932","15,068","15,126","15,111","15,044",Nolan
"Texas, Nueces",Texas,Nueces,"Texas, Nueces",313673,313670,316256,317632,321879,325515,329113,330512,333526,338220,"340,245","343,263","347,939","352,946","356,657","360,504","361,642",Nueces
"Texas, Ochiltree",Texas,Ochiltree,"Texas, Ochiltree",8988,9134,9106,8981,9149,9384,9557,9812,9962,10225,"10,171","10,444","10,612","10,704","10,715","10,698","10,257",Ochiltree
"Texas, Oldham",Texas,Oldham,"Texas, Oldham",2186,2132,2069,2072,2039,2010,2010,1992,2004,2040,"2,050","2,072","2,046","2,088","2,069","2,064","2,074",Oldham
"Texas, Orange",Texas,Orange,"Texas, Orange",84930,84108,83813,83553,83580,83500,81687,82255,82612,81586,"82,012","82,341","82,887","82,811","83,244","83,955","84,549",Orange
"Texas, Palo Pinto",Texas,Palo Pinto,"Texas, Palo Pinto",27074,27128,27144,27294,27276,27511,27859,27679,27916,28071,"28,095","28,062","27,867","27,886","28,041","27,966","28,125",Palo Pinto
"Texas, Panola",Texas,Panola,"Texas, Panola",22764,22773,22953,23021,22892,23140,23456,23351,23537,23678,"23,772","24,007","24,001","23,790","23,750","23,667","23,419",Panola
"Texas, Parker",Texas,Parker,"Texas, Parker",89159,91660,94092,97041,99320,101891,105387,109408,112911,115802,"117,316","118,320","119,482","119,785","122,147","125,640","128,967",Parker
"Texas, Parmer",Texas,Parmer,"Texas, Parmer",9991,9842,10032,10155,10168,10099,10035,10075,9994,10082,"10,265","10,276","10,184","9,986","9,952","9,794","9,762",Parmer
"Texas, Pecos",Texas,Pecos,"Texas, Pecos",16667,16284,16084,15709,15554,15385,15403,15321,15251,15490,"15,523","15,643","15,568","15,660","15,828","16,030","15,881",Pecos
"Texas, Polk",Texas,Polk,"Texas, Polk",41539,42945,43928,44779,45315,45472,45495,45727,45794,45537,"45,446","45,580","45,510","45,522","45,813","46,613","47,656",Polk
"Texas, Potter",Texas,Potter,"Texas, Potter",113762,114307,115427,117067,117682,118771,119780,119537,119740,120118,"121,371","122,305","122,739","122,127","122,061","121,272","120,632",Potter
"Texas, Presidio",Texas,Presidio,"Texas, Presidio",7355,7409,7534,7583,7561,7719,7638,7712,7683,7593,"7,875","7,754","7,619","7,386","7,194","7,057","7,156",Presidio
"Texas, Rains",Texas,Rains,"Texas, Rains",9196,9664,9985,10290,10446,10589,10830,10994,11022,10956,"10,913","11,003","10,939","11,033","11,013","11,136","11,304",Rains
"Texas, Randall",Texas,Randall,"Texas, Randall",104609,105399,106286,107607,109441,111113,112464,114782,116518,119084,"121,179","123,424","124,975","126,753","128,733","130,368","132,342",Randall
"Texas, Reagan",Texas,Reagan,"Texas, Reagan",3290,3230,3189,3130,3161,3143,3160,3260,3339,3377,"3,353","3,393","3,477","3,633","3,785","3,807","3,726",Reagan
"Texas, Real",Texas,Real,"Texas, Real",3067,3020,3020,3123,3138,3154,3264,3308,3241,3274,"3,322","3,431","3,352","3,318","3,347","3,297","3,399",Real
"Texas, Red River",Texas,Red River,"Texas, Red River",14297,14156,13914,13703,13584,13444,13237,13072,12922,12835,"12,874","12,682","12,723","12,487","12,445","12,345","12,179",Red River
"Texas, Reeves",Texas,Reeves,"Texas, Reeves",13115,13022,13017,12910,12721,12675,12747,13039,13211,13550,"13,834","14,098","14,265","14,494","15,124","15,574","15,229",Reeves
"Texas, Refugio",Texas,Refugio,"Texas, Refugio",7827,7765,7665,7563,7630,7601,7548,7414,7430,7410,"7,375","7,321","7,256","7,279","7,362","7,326","7,272",Refugio
"Texas, Roberts",Texas,Roberts,"Texas, Roberts",884,880,862,825,841,855,849,887,904,929,924,926,942,919,914,910,910,Roberts
"Texas, Robertson",Texas,Robertson,"Texas, Robertson",16062,16132,16053,16074,16260,16509,16581,16546,16535,16604,"16,555","16,657","16,455","16,431","16,468","16,698","16,804",Robertson
"Texas, Rockwall",Texas,Rockwall,"Texas, Rockwall",43755,46697,50078,53397,56477,60349,66117,70851,73929,76654,"78,919","81,045","82,710","84,670","87,064","90,170","93,421",Rockwall
"Texas, Runnels",Texas,Runnels,"Texas, Runnels",11458,11148,11002,10815,10774,10842,10587,10506,10444,10392,"10,508","10,500","10,335","10,196","10,294","10,387","10,276",Runnels
"Texas, Rusk",Texas,Rusk,"Texas, Rusk",47456,47837,48244,48540,49160,49703,50415,51278,52195,52799,"53,361","53,702","53,793","53,332","53,212","52,965","52,892",Rusk
"Texas, Sabine",Texas,Sabine,"Texas, Sabine",10388,10435,10477,10482,10498,10445,10583,10541,10565,10721,"10,871","10,727","10,524","10,424","10,428","10,440","10,381",Sabine
"Texas, San Augustine",Texas,San Augustine,"Texas, San Augustine",8959,8860,8985,9034,9085,9060,9128,9048,9039,8938,"8,854","8,799","8,789","8,663","8,481","8,349","8,288",San Augustine
"Texas, San Jacinto",Texas,San Jacinto,"Texas, San Jacinto",22549,22897,23415,24100,24756,25014,25151,25719,25889,26086,"26,474","26,780","26,942","26,731","27,049","27,361","27,732",San Jacinto
"Texas, San Patricio",Texas,San Patricio,"Texas, San Patricio",67333,66690,66820,66440,66990,67232,67022,66723,66417,65751,"64,431","64,458","65,260","66,134","66,656","67,117","67,311",San Patricio
"Texas, San Saba",Texas,San Saba,"Texas, San Saba",6268,6181,6042,5981,6045,5982,5985,5985,5965,6026,"6,134","6,047","5,990","5,960","5,858","5,922","5,922",San Saba
"Texas, Schleicher",Texas,Schleicher,"Texas, Schleicher",2929,3016,3036,2958,2991,3071,3085,3198,3255,3311,"3,503","3,310","3,259","3,191","3,164","3,195","3,057",Schleicher
"Texas, Scurry",Texas,Scurry,"Texas, Scurry",16251,15838,15982,15931,16118,16085,16232,16431,16478,16806,"16,928","16,868","17,125","17,272","17,377","17,570","17,394",Scurry
"Texas, Shackelford",Texas,Shackelford,"Texas, Shackelford",3297,3334,3388,3349,3290,3286,3287,3357,3314,3362,"3,383","3,334","3,361","3,375","3,316","3,333","3,337",Shackelford
"Texas, Shelby",Texas,Shelby,"Texas, Shelby",25212,25171,25155,25407,25212,25299,25324,25433,25381,25520,"25,458","25,733","26,062","25,977","25,607","25,373","25,566",Shelby
"Texas, Sherman",Texas,Sherman,"Texas, Sherman",3181,3131,3164,3113,3045,2970,2946,2969,3035,3018,"3,025","3,014","3,039","3,070","3,065","3,058","3,070",Sherman
"Texas, Smith",Texas,Smith,"Texas, Smith",175658,177836,181107,184254,187300,191362,196124,199953,203263,207111,"210,408","212,764","214,811","216,475","219,642","222,390","225,161",Smith
"Texas, Somervell",Texas,Somervell,"Texas, Somervell",6940,7017,7229,7400,7502,7629,7853,7996,8233,8415,"8,500","8,426","8,554","8,566","8,559","8,618","8,671",Somervell
"Texas, Starr",Texas,Starr,"Texas, Starr",53733,54294,55412,56704,57857,58284,59050,59529,59763,60384,"61,134","61,642","61,970","62,381","62,965","63,484","63,894",Starr
"Texas, Stephens",Texas,Stephens,"Texas, Stephens",9636,9455,9374,9407,9327,9409,9450,9513,9556,9675,"9,620","9,536","9,614","9,371","9,342","9,385","9,377",Stephens
"Texas, Sterling",Texas,Sterling,"Texas, Sterling",1358,1341,1326,1285,1261,1198,1124,1152,1169,1160,"1,137","1,170","1,191","1,229","1,340","1,333","1,339",Sterling
"Texas, Stonewall",Texas,Stonewall,"Texas, Stonewall",1664,1568,1487,1452,1427,1393,1425,1439,1443,1433,"1,496","1,463","1,452","1,418","1,388","1,398","1,401",Stonewall
"Texas, Sutton",Texas,Sutton,"Texas, Sutton",4024,4032,4072,4029,4124,4203,4299,4314,4321,4272,"4,062","3,987","3,916","3,982","3,969","3,915","3,886",Sutton
"Texas, Swisher",Texas,Swisher,"Texas, Swisher",8341,8248,8071,8062,8004,7910,7901,7855,7802,7680,"7,918","7,804","7,845","7,720","7,554","7,477","7,428",Swisher
"Texas, Tarrant",Texas,Tarrant,"Texas, Tarrant",1456919,1490204,1524249,1553086,1580595,1612048,1662005,1707157,1745602,1784078,"1,817,480","1,847,882","1,882,205","1,912,767","1,946,122","1,984,880","2,023,556",Tarrant
"Texas, Taylor",Texas,Taylor,"Texas, Taylor",126649,125920,125920,125542,126702,127248,127838,128503,128903,130247,"131,835","132,853","134,084","133,927","134,987","136,133","136,257",Taylor
"Texas, Terrell",Texas,Terrell,"Texas, Terrell",1059,1017,1009,995,939,942,921,886,884,930,"1,011",950,921,891,910,867,818,Terrell
"Texas, Terry",Texas,Terry,"Texas, Terry",12705,12473,12559,12534,12532,12417,12448,12424,12394,12550,"12,682","12,661","12,632","12,713","12,795","12,759","12,770",Terry
"Texas, Throckmorton",Texas,Throckmorton,"Texas, Throckmorton",1831,1791,1739,1702,1652,1695,1710,1653,1635,1654,"1,639","1,637","1,610","1,606","1,613","1,559","1,537",Throckmorton
"Texas, Titus",Texas,Titus,"Texas, Titus",28138,28100,28387,28947,29461,28803,29541,30231,30963,31749,"32,419","32,452","32,612","32,587","32,502","32,626","32,463",Titus
"Texas, Tom Green",Texas,Tom Green,"Texas, Tom Green",104083,103923,104035,104330,104744,104974,106125,106680,107639,108879,"110,678","111,751","113,307","114,680","116,319","117,514","117,634",Tom Green
"Texas, Travis",Texas,Travis,"Texas, Travis",819692,844877,848090,856315,870809,891266,925151,955399,980699,1006503,"1,030,503","1,061,709","1,096,886","1,122,248","1,152,260","1,179,805","1,206,110",Travis
"Texas, Trinity",Texas,Trinity,"Texas, Trinity",13793,13852,14033,14156,14246,14395,14376,14425,14380,14472,"14,729","14,686","14,372","14,445","14,298","14,539","14,543",Trinity
